Etunimi,Lukumäärä
Selma,2259
Edith,2258
Senni,2236
Aija,2233
Louise,2233
Gunilla,2222
Lydia,2218
Margaretha,2216
Unelma,2203
Aliina,2200
Annele,2198
Jade,2170
Lilli,2129
Hertta,2091
Melissa,2084
Anastasia,2068
Rita,2065
Mimosa,2059
Christine,2054
Isabel,2054
Heta,2053
Hanne,2046
Wilma,2038
Helli,2012
Tuire,2003
Vera,1997
Taija,1993
Carolina,1988
Erica,1967
Carola,1965
Rebekka,1958
Lilian,1950
Liina,1945
Salli,1938
Reeta,1925
Varpu,1923
Lisa,1915
Helga,1909
Solveig,1909
Minja,1894
Monika,1893
Carina,1890
Heljä,1888
Hellin,1886
Sofie,1882
Melina,1870
Eini,1855
Brita,1849
Elsi,1831
Adalmiina,1826
Reija,1826
Patricia,1809
Riitta-Liisa,1803
Frida,1798
Maisa,1791
Elin,1789
Moona,1784
Karolina,1778
Susan,1754
Inger,1745
Säde,1728
Lena,1723
Mirella,1716
Miina,1707
Henrietta,1704
Charlotte,1703
Mariia,1698
Mette,1697
Janna,1696
Anna-Kaisa,1694
Laina,1679
Kia,1677
Marja-Terttu,1667
Iisa,1665
Kerstin,1661
Viktoria,1656
Tilda,1651
Kaisla,1644
Lyyli,1636
Harriet,1628
Sointu,1625
Marleena,1621
Titta,1603
Vivian,1596
Aura,1595
Amelia,1585
Pirita,1580
Jasmine,1574
Selina,1572
Valpuri,1557
Saima,1541
Helene,1521
Seela,1510
Jasmiina,1507
Raisa,1507
Siviä,1507
Miisa,1506
Tuovi,1504
Taika,1499
Stina,1497
Else,1480
Annette,1479
Rakel,1477
Ingegerd,1467
Ira,1458
Ninni,1455
Wilhelmina,1449
Ursula,1442
Rebecca,1435
Greta,1429
Kiira,1426
Kirsi-Marja,1423
Leea,1417
Mariitta,1417
Elle,1410
Elvira,1410
Veronica,1408
Pilvi,1407
Tia,1401
Martina,1400
Helen,1397
Anna-Mari,1374
Berit,1373
Marja-Riitta,1354
Benita,1352
Kanerva,1342
Terhikki,1338
Justiina,1335
Agneta,1328
Iines,1316
Erin,1313
Yvonne,1311
Eleonoora,1302
Eleonora,1298
Hanna-Leena,1289
Hely,1288
Siru,1285
Diana,1281
Ann-Mari,1279
Barbro,1279
Beatrice,1278
Henni,1273
Hanna-Mari,1266
Mea,1262
Lumia,1257
Mailis,1255
Anna-Leena,1253
Enna,1253
Lovisa,1243
Fredrika,1237
Thi,1234
Henrika,1228
Saaga,1228
Anne-Maria,1225
Magdalena,1222
Maj-Britt,1215
Raila,1213
Janica,1208
Valma,1207
Siv,1206
Kaarin,1203
Evelina,1193
Liisi,1193
Tina,1183
Malin,1182
Juuli,1155
Bertta,1152
Madeleine,1139
Anne-Marie,1133
Ann,1132
Elizabeth,1132
Lina,1132
Sohvi,1128
Iita,1119
Kirsikka,1112
Caroline,1110
Pirkko-Liisa,1110
Sarita,1107
Amelie,1105
Mathilda,1099
Ava,1098
Marjo-Riitta,1091
Miranda,1085
Edit,1084
Inna,1069
Aida,1066
Sarah,1065
Gunvor,1058
Milka,1053
Valentina,1053
Virva,1053
Mariella,1052
Svetlana,1052
Paulina,1051
Peppiina,1038
Serafiina,1038
Tinja,1037
Michaela,1029
Vellamo,1021
Adeliina,1020
Riia,1018
Neela,1014
Sabina,1014
Nanna,1013
Felicia,1012
Maija-Leena,1011
Auroora,1010
Natalie,1008
Fiona,997
Gunnel,995
Mimmi,994
Sanna-Mari,994
Aurelia,984
Kira,984
Aamu,981
Ebba,976
Elna,974
Ansa,971
Annamari,968
Teresia,968
Vilhelmina,966
Tessa,964
Ruth,962
Vanamo,960
Suoma,956
Alva,947
Milena,940
Margareetta,936
Signe,935
Marlene,931
Ellinoora,929
Gun,929
Lilia,924
Nadja,921
Maarika,917
Isa,915
Ruut,915
Luna,910
Åsa,909
Miriam,899
Ines,898
Mohamed,898
Sophie,895
Silvia,890
Annu,888
Hanna-Kaisa,888
Kerttuli,888
Tatiana,886
Maj-Lis,884
Sofi,884
Juliaana,883
Ilmi,881
Nelly,878
Janni,877
Verna,877
Beata,871
Katrina,871
Nicole,869
Jennifer,865
Lemmikki,864
Margareeta,860
Juliana,851
Jatta,850
Stiina,846
Jessika,844
Pipsa,842
Lila,841
Julianna,840
Doris,837
Alissa,836
Claudia,830
Sophia,829
Annastiina,828
Impi,826
Unna,823
Lisbeth,822
Veronika,822
Micaela,814
Rea,808
Minka,806
Agnes,805
Ina,799
Nita,796
Annikka,794
Aina,791
Emily,787
Meea,787
Nuppu,782
Bettina,781
Angelica,780
Kielo,780
Emelie,779
Synnöve,779
Tatjana,777
Michelle,776
Mary,771
Soilikki,766
Minerva,763
Melinda,759
Minni,759
Britta,753
Livia,752
Maya,752
Dagmar,751
Kastehelmi,748
Mirkka,734
Ida-Maria,731
Josefin,731
Viena,728
Kukka-Maaria,727
Kukka,721
Nathalie,721
Malla,719
Merita,717
Ilse,710
Lucia,710
Gabriella,709
Maj,708
Jeanette,706
Christel,705
Jasmina,703
Ekaterina,700
Saini,699
Kaino,698
Alicia,697
Catharina,693
Andrea,690
Christa,688
Josefine,688
Hanna-Maria,687
Serafia,681
Rosita,670
Siri,670
Tamara,669
Tove,669
Elea,665
Marju,661
Ann-Marie,659
Eedit,655
Eeva-Maria,651
Eivor,651
Edla,646
Emilie,643
Pirjo-Riitta,643
Anne-Maj,641
Mai,639
Emmiina,638
Jane,638
Viveka,638
Mariel,637
Rebecka,635
Therese,634
Adelina,632
Rosanna,632
Isabelle,630
Sigrid,628
Bea,624
Ireene,623
Antonia,621
Linn,620
Marian,619
Terese,619
Sarianna,614
Tara,614
Larissa,613
Selja,612
Ria,609
Ramona,606
Hellä,605
Rose,603
Jenniina,599
Eve,598
Eriika,597
Ritva-Liisa,597
Anna-Sofia,596
Lily,595
Jelena,594
Cristina,593
Elmiina,592
Anne-Maarit,591
Catarina,591
Jannika,591
Briitta,587
Iida-Maria,576
Angelina,575
Siina,575
Ahmed,570
Sinna,563
Marit,560
Mariana,559
Susann,557
Magdaleena,556
Ottilia,556
Lenita,555
Milana,554
Fiia,552
Henna-Riikka,550
Eija-Liisa,547
Inga-Lill,547
Pirjo-Liisa,545
Galina,543
Sirja,538
Svea,536
Augusta,535
Annemari,531
Märta,531
Lara,524
Leona,522
Kristine,520
Karina,518
My,518
Angela,516
Adelia,515
Tua,514
Ilta,513
Silva,513
Noomi,510
Hulda,508
Lili,508
Viveca,507
Eeva-Maija,499
Soila,499
Pernilla,497
Ann-Christine,495
Ulpu,495
Alise,494
Ulriikka,494
Serafina,492
Sanna-Kaisa,489
Sani,488
Kreetta,486
Marikki,484
Liinu,483
Ruusu,483
Lisbet,482
Yasmin,481
Else-Maj,479
Sanna-Maria,478
Mari-Anne,476
Meiju,476
Hanneli,475
Margaret,472
Pamela,466
Maili,465
Sade,465
Marissa,462
Roosa-Maria,457
Teea,457
May,456
Ingegärd,453
Mariaana,453
Lidia,452
Ellinor,449
Bella,447
Hannamari,447
Ali,445
Aallotar,444
Amina,443
Aleksiina,440
Annica,437
Clara,436
Assi,434
Cassandra,433
Petriina,433
Gunhild,432
Margita,432
Karla,428
Nana,426
Ann-Christin,424
Hedvig,423
Angelika,422
Gun-Britt,422
Maja,422
Tuulevi,419
Riika,415
Anna-Lisa,413
Carmen,413
Mandi,412
Marjanne,410
Hannah,408
Leeni,406
Britt-Marie,402
Catherine,402
Kustaava,402
Moa,402
Mariam,400
Kreeta,399
Kamilla,398
Margarita,398
Lemmitty,397
Marica,397
Meri-Tuuli,397
Samira,397
Vivi,396
Gretel,395
Alexsandra,393
Adessa,392
Lumina,392
Henriika,391
Kirsi-Maria,391
Klaudia,391
Lumikki,391
Hanna-Maija,390
Abdi,388
Mariann,388
Fatima,387
Hellen,387
Britt,385
Katharina,385
Katrin,384
Theresa,384
Ann-Sofi,383
Maj-Len,383
Nenna,383
Mirja-Liisa,382
Bianca,381
Tiia-Maria,381
Louna,379
Gabriela,378
Erna,376
Kristin,376
Annie,375
Estelle,375
Iitu,375
Sarianne,375
Jarna,374
Ainikki,373
Mariela,373
Evelyn,372
Miira,372
Göta,370
Hillervo,370
Lauriina,370
Leena-Maija,370
Jennika,369
Valeria,369
Hilppa,367
Mielikki,366
Raija-Liisa,366
Vaula,364
Ulriika,363
Filippa,361
Minna-Liisa,361
Jadessa,360
Merituuli,360
Raita,359
Odessa,358
Valborg,356
Rut,355
Aisha,354
Ninja,352
Adéle,350
Esther,348
Josephine,348
Sabrina,348
Sonia,348
Usva,348
Carla,347
Ilma,347
Barbara,346
Lilly,345
Evita,344
Ragnhild,343
Armiida,342
Naomi,342
Ruusa,342
Gerd,341
Melisa,341
Anri,340
Hassan,339
Desiree,338
Ethel,338
Aniitta,336
Gertrud,334
Rosa-Maria,334
Annabella,333
Kajsa,333
Susa,333
Ann-Sofie,332
Thea,330
Eriikka,329
Suvi-Tuuli,329
Jenina,326
Sanja,326
Eeva-Leena,322
Lia,322
Eva-Maria,321
Henriette,321
Jessi,320
Margetta,318
Ann-Charlotte,317
Arja-Liisa,316
Evi,316
Sofianna,316
Hjördis,314
Anna-Lena,313
Eeva-Kaisa,313
Klara,313
Marisa,312
Eeva-Riitta,311
Illusia,311
Laimi,311
Rianna,311
Annaliisa,307
Denise,307
Natasha,307
Anna-Kaarina,306
Elmi,306
Hildegard,305
Grace,304
Aino-Maria,303
Amira,303
Nadia,303
Maija-Riitta,302
Miila,302
Adina,301
Evelin,301
Maikki,301
Auri,300
Gunborg,300
Salla-Mari,299
Alexia,298
Disa,298
Freja,297
Maini,296
Marke,296
Janniina,295
Klaara,294
Adalmina,293
Petronella,293
Pauline,292
Annamaria,291
Caroliina,290
Hanna-Liisa,290
Liia,290
Lyyti,289
Maia,289
Malviina,289
Ylva,289
Hanna-Riikka,288
Suvi-Tuulia,288
Jannica,287
Rose-Marie,287
Seidi,287
Karelia,286
Nette,286
Anna-Riikka,285
