Sukunimi,Nimenhaltijoita yhteensä
Kosunen,1755
Tapio,1754
Närhi,1753
Tuomainen,1753
Honkala,1746
Inkinen,1744
Pakkanen,1743
Hurme,1741
Ekholm,1739
Kääriäinen,1738
Saukkonen,1731
Kaartinen,1730
Palonen,1728
Minkkinen,1724
Pirhonen,1708
Tauriainen,1706
Pyykkö,1699
Piironen,1698
Lukkarinen,1695
Rintamäki,1695
Nummela,1686
Söderlund,1678
Tukiainen,1673
Nurmela,1672
Puttonen,1672
Kautto,1669
Remes,1667
Itkonen,1666
Määttänen,1665
Selin,1654
Romppanen,1652
Halttunen,1644
Tiilikainen,1644
Harjula,1641
Grönlund,1639
Nikkanen,1634
Kananen,1633
Vanhala,1628
Pekkanen,1624
Tammi,1624
Välimaa,1623
Koivu,1621
Tossavainen,1620
Santala,1619
Mäkilä,1617
Ryhänen,1616
Myllylä,1614
Kalliomäki,1613
Pyykkönen,1605
Setälä,1595
Saukko,1593
Kuitunen,1592
Koivumäki,1590
Tuomaala,1587
Piispanen,1576
Lintunen,1573
Ahtiainen,1570
Lindeman,1569
Tuomela,1568
Ketonen,1559
Happonen,1557
Kivioja,1556
Sundqvist,1552
Valtanen,1550
Hovi,1539
Pietiläinen,1536
Tyni,1534
Siekkinen,1533
Hellsten,1532
Tuhkanen,1530
Kataja,1529
Vesala,1526
Nyyssönen,1524
Siltanen,1522
Poutanen,1517
Kuusinen,1510
Rämö,1500
Hakola,1498
Haapalainen,1496
Mäntynen,1496
Hakulinen,1495
Sivula,1494
Toikka,1493
Turtiainen,1487
Päivärinta,1486
Kangasniemi,1484
Montonen,1484
Pellinen,1482
Hellman,1481
Peltomäki,1477
Piipponen,1476
Vänskä,1476
Kuivalainen,1472
Torvinen,1471
Vaittinen,1468
Honkonen,1465
Mykkänen,1463
Stenberg,1463
Wallenius,1463
Pettersson,1462
Syrjänen,1458
Salin,1456
Valli,1456
Kuittinen,1455
Piippo,1452
Parkkonen,1449
Jäppinen,1447
Kuikka,1444
Sandström,1441
Jalkanen,1439
Kärnä,1431
Talvitie,1430
Räihä,1428
Lindén,1426
Hallikainen,1425
Nikkilä,1424
Utriainen,1424
Grönholm,1420
Soikkeli,1419
Sjöberg,1417
Sippola,1416
Herranen,1415
Hynynen,1413
Kuparinen,1412
Jaakola,1411
Pursiainen,1406
Iivonen,1400
Lönnqvist,1398
Mähönen,1398
Nikkinen,1397
Palosaari,1397
Raunio,1393
Männikkö,1392
Orava,1392
Pulli,1392
Sairanen,1382
Puumalainen,1379
Lamberg,1378
Kekäläinen,1377
Pellikka,1375
Ojanperä,1373
Rahkonen,1373
Tuomola,1371
Putkonen,1370
Mohamed,1369
Suni,1368
Nordlund,1367
Vatanen,1367
Kakko,1366
Kankkunen,1366
Reijonen,1365
Savela,1364
Annala,1363
Katajamäki,1360
Vuorenmaa,1360
Olkkonen,1357
Kervinen,1354
Pynnönen,1354
Hukkanen,1353
Niskala,1353
Tynkkynen,1353
Kaukonen,1352
Lappi,1352
Peltomaa,1351
Öhman,1350
Numminen,1349
Vehviläinen,1349
Saikkonen,1345
Juutilainen,1344
Kaunisto,1343
Vauhkonen,1343
Isotalo,1340
Naukkarinen,1340
Salovaara,1339
Sundberg,1339
Viljakainen,1338
Kukkola,1337
Leivo,1335
Pohjonen,1334
Sipola,1333
Nordman,1329
Heimonen,1324
Suokas,1322
Väätäinen,1316
Virkkunen,1315
Huhta,1314
Jämsä,1314
Pihlajamäki,1314
Manner,1311
Ervasti,1310
Haikonen,1310
Nissilä,1305
Kohonen,1301
Mutanen,1301
Palmu,1301
Kurvinen,1299
Oja,1297
Nguyen,1294
Kaipainen,1292
Vainikka,1292
Malmberg,1290
Reponen,1290
Siltala,1290
Pylkkänen,1289
Päivinen,1286
Roos,1283
Wallin,1283
Lähde,1282
Mäkeläinen,1281
Haanpää,1278
Pihlaja,1276
Poutiainen,1275
Vikman,1275
Mannila,1274
Holma,1273
Elomaa,1272
Vanhatalo,1272
Huhtanen,1271
Kilpinen,1270
Hurskainen,1263
Ovaskainen,1261
Lintula,1260
Säkkinen,1260
Söderholm,1260
Rouhiainen,1258
Mielonen,1256
Kupiainen,1255
Lindell,1255
Suuronen,1252
Kovalainen,1251
Ovaska,1249
Perttula,1246
Kuoppala,1244
Blom,1243
Kumpula,1240
Murto,1238
Viinikainen,1238
Raitanen,1234
Klemetti,1233
Jokelainen,1228
Haapakoski,1226
Kiviranta,1226
Vainikainen,1226
Kivi,1224
Himanen,1223
Janhunen,1222
Tarkiainen,1221
Saarenpää,1220
Fagerström,1217
Rekola,1215
Pietarinen,1214
Tuononen,1214
Hintikka,1213
Ali,1211
Ek,1211
Liikanen,1208
Haapamäki,1205
Lundberg,1204
Ruokonen,1202
Siivonen,1199
Veijalainen,1198
Bergström,1196
Rantamäki,1196
Leskelä,1192
Julkunen,1191
Ripatti,1184
Sundell,1184
Marjamäki,1182
Parikka,1180
Kirjavainen,1179
Laatikainen,1178
Nikander,1178
Ratilainen,1177
Sarkkinen,1175
Jalava,1172
Saario,1172
Gröhn,1167
Ström,1164
Kemppi,1163
Rahikainen,1160
Varjonen,1159
Palo,1158
Granlund,1157
Saarikoski,1157
Junnila,1156
Kannisto,1155
Raappana,1155
Kekki,1152
Tanninen,1152
Vänttinen,1150
Vesa,1149
Paasonen,1147
Reunanen,1146
Westerholm,1144
Hongisto,1143
Peura,1143
Pentikäinen,1142
Kesti,1140
Kauranen,1138
Hulkkonen,1137
Granholm,1135
Rautanen,1135
Nisula,1134
Äijälä,1133
Vaara,1132
Blomberg,1131
Juhola,1131
Loikkanen,1129
Maijala,1123
Myllynen,1123
Lyytinen,1122
Martin,1120
Heinänen,1119
Kunnari,1117
Oksa,1116
Ilomäki,1113
Sarajärvi,1113
Okkonen,1112
Häggblom,1109
Lampela,1107
Niinimäki,1105
Ahlgren,1103
Lukkari,1097
Takkinen,1097
Jutila,1095
Sjöholm,1094
Kolari,1092
Åberg,1090
Roininen,1089
Forsberg,1088
Ristimäki,1088
Östman,1088
Kontkanen,1087
Åkerlund,1086
Majuri,1085
Rosenberg,1084
Lamminen,1083
Tuppurainen,1081
Kytölä,1080
Forss,1078
Ropponen,1077
Vornanen,1074
Ahmed,1071
Katainen,1071
Vilén,1071
Pollari,1069
Söderström,1067
Lundström,1061
Knuutila,1059
Bäckman,1058
Hirvelä,1058
Korkiakoski,1058
Heikura,1056
Metso,1055
Markkula,1054
Mäkipää,1053
Ijäs,1051
Tissari,1051
Lempiäinen,1050
Tölli,1050
Aronen,1048
Tiitinen,1046
Hietamäki,1043
Arvola,1041
Kaasinen,1041
Vikström,1037
Hedman,1035
Kela,1035
Härmä,1033
Weckström,1031
Kemppinen,1030
Puurunen,1029
Olli,1027
Pärssinen,1026
Sorvari,1026
Yrjölä,1026
Uutela,1025
Österberg,1025
Korpinen,1024
Kapanen,1021
Saloranta,1021
Juutinen,1019
Palm,1018
Malm,1016
Kallinen,1009
Similä,1009
Hujanen,1008
Surakka,1006
Ekström,1005
Järveläinen,1005
Nilsson,1005
Björkman,1003
Uimonen,999
Haarala,998
Strömberg,998
Suorsa,998
Rusanen,997
Roivainen,995
Porkka,993
Rajaniemi,993
Tuukkanen,993
Luukkanen,992
Teittinen,991
Nummi,989
Katajisto,988
Lång,988
Myllykoski,987
Toikkanen,986
Purhonen,984
Peltokangas,983
Pulliainen,983
Sirkiä,983
Syrjä,982
Höglund,976
Salomäki,973
Rannikko,972
Ilvonen,971
Björk,968
Loponen,966
Kajander,965
Kuvaja,964
Siira,964
Virkki,963
Hildén,962
Österlund,961
Rahkola,960
Ikävalko,956
Könönen,956
Laitala,956
Henttonen,955
Rönkä,955
Suonpää,953
Törmä,953
Kurkela,952
Ylikoski,950
Kasurinen,949
Niva,948
Nokelainen,948
Palviainen,948
Viljamaa,947
Enqvist,946
Mönkkönen,946
Nordberg,945
Nummelin,944
Stenman,942
Kaasalainen,941
Backlund,940
Metsälä,938
Lindblom,937
Koivukangas,936
Kulju,936
Karppanen,935
Pusa,935
Hietikko,934
Kallioniemi,934
Toropainen,933
Terho,932
Isomäki,931
Hellström,929
Naumanen,929
Käyhkö,928
Siponen,928
Dahl,927
Koskelainen,926
Asplund,925
Häyrinen,925
Kröger,924
Pöntinen,923
Juuti,921
Kaski,921
Liimatta,921
Rouvinen,921
Kopra,919
Pöyry,919
Heikkonen,917
Oksman,917
Hintsala,915
Klemola,914
Palokangas,913
Malin,912
Romppainen,912
Lievonen,911
Perkiö,911
Arponen,906
Mantere,905
Back,904
Siren,904
Vesanen,903
Knuuttila,902
Puolakka,902
Haakana,899
Granqvist,894
Mehtälä,894
Toiviainen,893
Ruokolainen,891
Pyykönen,890
Lund,889
Miettunen,889
Pajula,889
Parkkila,887
Mäkynen,886
Jurvanen,885
Norrgård,884
Sandell,883
Silander,880
Ukkola,880
Paldanius,879
Isaksson,878
Isoaho,878
Pajari,878
Hyyryläinen,877
Kankare,877
Lahtela,877
Luomala,876
Boman,875
Kanniainen,875
Laasonen,875
Myllyniemi,875
Ahlqvist,872
Räikkönen,869
Berglund,868
Suikkanen,868
Halinen,867
Koskelo,867
Riekki,867
Ristola,866
Huovila,865
Sorjonen,865
Luokkanen,864
Kotiranta,863
Tuomikoski,861
Lahdenperä,859
Stenroos,859
Särkkä,859
Haapasalo,858
Smeds,858
Sironen,855
Lohi,854
Vierimaa,852
Vihavainen,852
Herrala,851
Lauronen,850
Riekkinen,850
Ohtonen,849
Paaso,849
Viskari,849
Kurkinen,847
Poikonen,846
Rinkinen,846
Kallioinen,845
Lehtomäki,844
Takalo,844
Myyryläinen,843
Korkalainen,841
Knuutinen,840
Koikkalainen,840
Malmi,840
Möttönen,840
Pernu,840
Tammela,840
Huuhtanen,837
Pakkala,836
Palola,836
Kurtti,835
Niemistö,835
Savola,833
Vähäkangas,833
Saaristo,831
Hinkkanen,830
Raivio,830
Schroderus,830
Vaarala,830
Kinnari,829
Laurikainen,829
Kujansuu,828
Myller,827
Rask,827
Launonen,826
Valo,826
Helle,825
Vahtera,824
Engström,820
Flink,820
Oinas,820
Fredriksson,819
Hagman,819
Viinikka,819
Pentti,818
Kojo,816
Kostiainen,815
Ruusunen,813
Tikkala,813
Hassan,811
Haatainen,809
Brandt,808
Hyppönen,808
Mertanen,808
Ristolainen,808
Aikio,807
Kantonen,806
Tuunanen,805
Lepola,804
Husu,802
Kankainen,801
Myllykangas,801
Wiik,801
Reiman,800
Jakobsson,799
Paloniemi,798
Bäckström,796
Taskila,796
Tran,796
Ahvenainen,795
Vento,793
Korkala,792
Lampi,792
Pohjolainen,791
Rosenqvist,790
Kallunki,788
Lötjönen,788
Rutanen,788
Forsell,787
Ilola,787
Rosendahl,787
Hölttä,785
Pullinen,785
Pussinen,785
Ruhanen,785
Bäck,784
Havukainen,784
Suojanen,784
Keto,783
Kunnas,783
Pölönen,780
Lähdesmäki,779
Taavitsainen,779
Järvensivu,778
Laukka,778
Maunula,778
Pohjalainen,778
Hagert,776
Hakonen,776
Rantalainen,776
Varonen,776
Grönberg,774
Hakamäki,774
Fagerlund,773
Puska,772
Sievänen,772
Tuisku,772
Rastas,771
Riipinen,771
Uitto,771
Tanner,769
Reinikka,768
Sorri,766
Kurikka,765
Tapaninen,765
Koivuranta,764
Nivala,764
Huhtamäki,762
Myöhänen,760
Kiljunen,758
Torniainen,758
Visuri,758
Kantanen,757
Pekkola,756
Rainio,756
Valjakka,756
Korkeamäki,755
Tammisto,755
Mehtonen,754
Jormanainen,751
Muikku,751
Pesola,751
Vesalainen,751
Illikainen,750
Karhula,748
Muukkonen,748
Poikela,748
Roine,748
Ahlfors,746
Olin,746
Saarnio,745
Julin,744
Lindstedt,743
Fagerholm,742
Tuohimaa,740
Vehmas,740
Eerikäinen,739
Grönqvist,739
Tiittanen,739
Ylimäki,739
Nyqvist,738
Pekonen,738
Koivistoinen,737
Viita,737
Käkelä,736
Äikäs,736
Kostamo,735
Särkelä,735
Österman,735
Issakainen,734
Dahlström,732
Finnilä,732
Piiparinen,731
Saarikko,730
Juopperi,728
Kiviharju,728
Luhtala,728
Malmström,727
Leminen,725
Niittymäki,725
Peippo,725
Lipsanen,722
Kuula,718
Sihvola,717
Levänen,715
Pajala,715
Törrönen,715
Valta,715
Engblom,714
Nupponen,714
Paju,714
Marin,713
Forsblom,712
Kvist,712
Sipiläinen,712
Korte,711
Kuutti,711
Kymäläinen,711
Litmanen,711
Grönfors,710
Kaskinen,710
Kilponen,710
Teräväinen,710
Vilenius,710
Hyrkäs,709
Pihlajaniemi,709
Raita,708
Rasi,708
Boström,706
Lumme,706
Luotonen,706
Rämä,706
Hautaniemi,704
Löppönen,704
Takanen,703
Haaranen,701
Mantila,701
Koskimäki,698
Pääkkö,698
Poikolainen,697
Puisto,697
Kylliäinen,696
Sopanen,695
Willman,695
Långström,694
Tammelin,694
Sepponen,693
Vilkman,693
Laurén,692
Ikola,690
Turkki,689
Valkeapää,689
Jokiniemi,688
Multanen,688
Vuoristo,687
Elonen,686
Lundell,686
Jeskanen,685
Sundman,685
Lajunen,684
Turkia,684
Englund,683
Kupari,683
Nylander,683
Roth,683
Konttila,682
Paakkunainen,682
Korva,680
Hautanen,679
Luttinen,679
Viinamäki,679
Gröndahl,678
Tainio,678
Harinen,677
Sihvo,677
Joki,676
Pesu,676
Metsola,675
Puro,674
Smolander,674
Talja,673
Asp,672
Jokitalo,672
Borg,671
Lehtiniemi,671
Martiskainen,671
Nygren,671
Viitaniemi,671
Keinonen,670
Saarimaa,670
Weckman,670
Posti,669
Skog,669
Sjölund,668
Tirronen,668
Mannonen,667
Taponen,667
Karonen,666
Mikkilä,666
Falck,665
Koli,664
Paukkunen,664
Töyrylä,664
Hagström,663
Juola,663
Santanen,663
Kolu,661
Kuha,661
Tonteri,661
Nurkkala,660
Roiha,658
Tuuri,658
Uotinen,658
Väre,658
Alén,657
Tyrväinen,657
Pylvänäinen,656
Sandelin,656
Pelttari,655
Kattelus,653
Summanen,653
Uski,653
Hartikka,652
Raitio,652
Suutarinen,652
Alastalo,651
Harjunpää,650
Rummukainen,650
Hoikkala,649
Häyrynen,649
Vitikainen,649
Syvänen,648
Tommila,648
Huhtinen,647
Ritola,647
Koivusalo,646
Muurinen,646
Uusimäki,645
Björn,644
Jaskari,644
Hirvi,643
Suihkonen,643
Suoranta,643
Kanninen,642
Mansikkamäki,642
Kohvakka,641
Mänttäri,641
Tiensuu,641
