Etunimi,Lukumäärä
Jousia,145
Anatoli,144
Kunto,144
Misa,144
Pär,144
Sanfrid,144
Yasin,144
Harto,143
Jan-Henrik,143
Juhamatti,143
Karlo,143
Eirik,142
Emerik,142
Joacim,142
Matti-Pekka,142
Morgan,142
Sammy,142
Janne-Pekka,141
Vadim,141
Andrea,140
Vilpas,140
Christofer,139
Erkinpoika,139
Ethan,139
Fridolf,139
Måns,138
Miku,137
Pedro,137
Angelo,136
Daavid,136
Ragnvald,136
Zakaria,136
Emir,135
Jamiel,135
Juha-Petri,135
Saminpoika,135
Vesanpoika,135
Aksu,134
Caius,134
Dylan,134
Hendrik,133
Jeri,133
Juska,133
Mahmoud,132
Oliwer,132
Pehr,132
Roi,132
Anh,131
Jouninpoika,131
Moritz,131
Wilho,131
Francisco,130
Leonel,130
Marek,130
Ville-Markus,130
Brynolf,128
Engelbert,128
Fernando,128
Israel,128
Ristonpoika,128
Stephan,128
Jouka,127
Marcel,127
Pepe,127
Riku-Pekka,127
Vladislav,127
Akilles,126
Mahdi,126
Milko,126
Odin,126
Vili-Valtteri,126
Armo,125
Nathaniel,125
Nikanor,125
Tami,125
Toomas,125
Wilhelmi,125
Aslan,124
Dominik,124
Kosmo,124
Mikko-Pekka,124
Sven-Olof,124
Weeti,124
Adnan,123
Ilkanpoika,123
Joeli,123
Anto,122
Evan,122
Jerome,122
Thorvald,122
Jooel,121
Keimo,121
Nelson,121
Niku,121
Arman,120
Claus,120
Eemu,120
Elijah,120
Laurinpoika,120
Natanael,120
Aito,119
Nicolai,119
Pasinpoika,119
Riku-Petteri,119
Rolle,119
Willem,119
Ante,118
Bilal,118
Eeronpoika,118
Jussi-Petteri,118
Melker,118
Ernesto,117
Hamid,117
Jakke,117
Kenny,117
Leonid,117
Md.,117
Pablo,117
Eki,116
Erling,116
Esanpoika,116
Marlon,116
Remi,116
Reza,116
Scott,116
Volter,115
Atle,114
Eenokki,114
Mikail,114
Mikki,113
Nikolaus,113
Oswald,113
Trygve,113
Volmar,113
Dante,112
Diego,112
Elton,112
Evgeny,112
Dag,111
Emppu,111
Stanislav,111
Tor-Erik,111
Ale,110
Ilyas,110
Ismael,110
Juuse,110
Mahad,110
Alexandros,109
Carl-Henrik,109
Damian,109
Mooses,109
Ralph,109
Riki,109
Antti-Juhani,108
Hasse,108
Justin,108
Kalle-Pekka,108
Marlo,108
Mohamad,108
Sipi,108
Vitali,108
Anthon,107
Jama,107
Jussa,107
Martinpoika,107
Muhamed,107
Reidar,107
Aden,106
Gilbert,106
Isidor,106
Seponpoika,106
Ernfrid,105
Joosef,105
Aki-Petteri,104
Joska,104
Poika,104
Roobert,104
Ruuben,104
Tuomaanpoika,104
Östen,104
Mateo,103
Mehdi,103
Tito,103
Ananias,102
Hoang,102
Huuko,102
Jan-Kristian,102
Karl-Henrik,102
Malik,102
Mies,102
Musa,102
Rayan,102
Reeti,102
Rudi,102
Semi,102
Carl-Gustaf,101
Pierre,101
Timur,101
Veetu,101
Ari-Jukka,100
Can,100
Enok,100
Feodor,100
Frederick,100
Ilppo,100
Jonah,100
Tarvo,100
Willy,100
Abdifatah,99
Anshelm,99
Francesco,99
Janinpoika,99
Juhaninpoika,99
Mahamud,99
Nikolaos,99
Petrik,99
Taimo,99
Teronpoika,99
Vaito,99
Bastian,98
Eero-Pekka,98
Ilias,98
Mikaeli,98
Nuuti,98
Paolo,98
Raikas,98
Raphael,98
Runo,98
Salama,98
Walfrid,98
Wili,98
Jordan,97
Stig-Erik,97
Wolfgang,97
Aziz,96
Eduardo,96
Georgios,96
Joni-Petteri,96
Khaled,96
Lars-Johan,96
Pieti,96
Tapionpoika,96
Volmari,96
Antony,95
Kian,95
Kiril,95
Olli-Petteri,95
Olov,95
Steve,95
Donald,94
Duc,94
Heinrich,94
Jerri,94
Kumar,94
Launo,94
Olivier,94
Philippe,94
Rinaldo,94
Artonpoika,93
Edvart,93
Frederik,93
Jamie,93
Jarmonpoika,93
Nick,93
Reh,93
Renny,93
Sigvald,93
Tuan,93
Abram,92
Edmund,92
Erich,92
Riko,92
Vasili,92
Asarias,91
Conrad,91
Crister,91
Iivar,91
Jani-Matti,91
Lenne,91
Severus,91
Winston,91
Youssef,91
Alexandr,90
Aram,90
El,90
Elvin,90
Faisal,90
Jokke,90
Karel,90
Kenth,90
Seth,90
Totte,90
Ekku,89
Farah,89
Joni-Pekka,89
Junnu,89
Lawrence,89
Niiles,89
Ukko-Pekka,89
Calle,88
Carolus,88
Fritz,88
Jan-Eric,88
Juhonpoika,88
Kimmonpoika,88
Muisto,88
Nicky,88
Quang,88
Timmy,88
Willehard,88
Vilmer,88
Andy,87
Douglas,87
Enzo,87
Hung,87
Javier,87
Kuura,87
Matheo,87
Nabil,87
Peder,87
Pentinpoika,87
Veli-Jussi,87
Wihtori,87
Abiel,86
Anwar,86
Bashir,86
Cedric,86
Fredric,86
Malte,86
Oma,86
Per-Ole,86
Reetu,86
Sander,86
Theodore,86
Thure,86
Arho,85
Cay,85
Enrique,85
Friedrich,85
Kaapro,85
Kasmir,85
Pauno,85
Arian,84
Bert,84
Lorenz,84
Mika-Petteri,84
Valte,84
Aadam,83
Adil,83
Ahmet,83
Antreas,83
